year,racenumber,gp,Toro Rosso,Force India,Ferrari,Marussia,Williams,McLaren,Caterham,Mercedes,Red Bull,Renault,Sauber,team,age,driver,Track Type,p1,p2,p3,avgprac,qual,grid,avgstart,pteam,teampts,pdriver,driverpts,pit stops,dnf,points,podium,finish
2014,19,abudhabi,0,0,0,0,0,0,1,0,0,0,0,Caterham Renault,23,ericsson,0,20,19,20,19.66666667,18.00,17.00,17.50,0,0,0,0,2,0,0,0,17.0
2014,1,australia,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,22,18,22,20.66666667,21.00,22.00,21.50,0,0,0,0,4,1,0,0,22.0
2014,2,malaysia,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,22,17,15,18,16.00,15.00,15.50,0,0,0,0,3,0,0,0,11.0
2014,3,bahrain,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,19,18,20,19,16.00,16.00,16.00,0,0,0,0,3,0,0,0,12.0
2014,4,china,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,12,9,3,8,10.00,10.00,10.00,0,0,0,0,4,1,0,0,21.0
2014,5,spain,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,17,17,5,13,5.00,5.00,5.00,0,4,0,4,2,0,1,0,8.0
2014,6,monaco,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,0,13,16,16,15,14.00,14.00,14.00,2,6,2,6,2,0,1,0,8.0
2014,7,canada,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,0,14,11,13,12.66666667,14.00,14.00,14.00,4,0,4,0,4,1,0,0,17.0
2014,8,austria,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,16,19,14,16.33333333,16.00,22.00,19.00,2,0,2,0,2,0,0,0,14.0
2014,9,greatbritan,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,12,15,4,10.33333333,11.00,11.00,11.00,1,0,1,0,1,0,0,0,12.0
2014,10,germany,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,4,16,16,12,15.00,14.00,14.50,0.5,0,0.5,0,4,1,0,0,22.0
2014,11,hungary,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,17,17,14,16,15.00,14.00,14.50,0.25,0,0.25,0,4,1,0,0,19.0
2014,12,belgium,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,13,14,16,14.33333333,15.00,15.00,15.00,0.125,0,0.125,0,4,1,0,0,21.0
2014,13,italy,0,0,0,0,0,0,0,0,0,1,0,Lotus Renault,28,grosjean,1,20,20,19,19.66666667,18.00,17.00,17.50,0.0625,0,0.0625,0,1,0,0,0,16.0
